City,Item,Price
Hyderabad,Spotify Premiumper month,₹119
Hyderabad,"Haircut (Men, basic salon)per cut",₹120
Hyderabad,"Domestic Beer (pint, restaurant)per pint",₹200
Hyderabad,"Imported Beer (bottle, restaurant)per bottle",₹380
Pune,Veg Thali (local restaurant)per plate,₹120
Pune,Non-Veg Thali (local restaurant)per plate,₹180
Pune,Meal for Two (high-end restaurant)per meal,"₹1,400"
Pune,Chai (regular cup)per cup,₹15
Pune,Coffee (Cappuccino)per cup,₹180
Pune,Specialty Coffee (Third Wave)per cup,₹280
Pune,Street Food (Vada Pav / Samosa)per piece,₹15
Pune,Biryani (chicken)per plate,₹200
Pune,Dosa (plain)per plate,₹65
Pune,Fast Food Combo (McDonald's)per meal,₹250
Pune,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Pune,Bottled Water (1 litre)per bottle,₹20
Pune,Rice (Basmati)1 kg,₹100
Pune,Wheat Flour (Atta)1 kg,₹50
Pune,Toor Dal1 kg,₹155
Pune,Milk (Full Cream)1 litre,₹56
Pune,Eggs12 pcs,₹78
Pune,Chicken1 kg,₹240
Pune,Paneer1 kg,₹370
Pune,Onions1 kg,₹35
Pune,Tomatoes1 kg,₹42
Pune,Potatoes1 kg,₹32
Pune,Cooking Oil (Sunflower)1 litre,₹155
Pune,Sugar1 kg,₹46
Pune,Apples (Shimla)1 kg,₹190
Pune,Bananas1 dozen,₹50
Pune,"Bread (White, Sliced)1 loaf",₹45
Pune,Whey Protein (1 kg)per kg,"₹3,000"
Pune,Auto Rickshaw (minimum fare)per ride,₹23
Pune,Auto Rickshaw (per km after min)per km,₹14
Pune,Metro / Local Train (monthly pass)per month,"₹1,100"
Pune,Bus (monthly pass)per month,₹700
Pune,Ola/Uber (avg ride)per ride,₹200
Pune,Petrol1 litre,₹105
Pune,Diesel1 litre,₹90
Pune,Two Wheeler EMI (avg)per month,"₹3,500"
Pune,Car EMI (avg)per month,"₹15,000"
Pune,Electricityper month,"₹1,800"
Pune,Water Billper month,₹350
Pune,Cooking Gas (LPG Cylinder)per cylinder,₹803
Pune,Broadband Internetper month,₹850
Pune,Mobile Plan (Jio/Airtel)per month,₹349
Pune,1 BHK in City Centreper month,"₹20,000"
Pune,1 BHK Outside City Centreper month,"₹12,000"
Pune,2 BHK in City Centreper month,"₹35,000"
Pune,2 BHK Outside City Centreper month,"₹20,000"
Pune,3 BHK in City Centreper month,"₹55,000"
Pune,3 BHK Outside City Centreper month,"₹30,000"
Pune,Home Loan EMI (2BHK avg)per month,"₹66,000"
Pune,PG - Private Room (with meals)per month,"₹14,000"
Pune,PG - Private Room (without meals)per month,"₹10,000"
Pune,PG - Double Sharing (with meals)per month,"₹9,500"
Pune,PG - Double Sharing (without meals)per month,"₹7,000"
Pune,PG - Triple Sharing (with meals)per month,"₹7,000"
